Strain_name,Publication_name,Other_name,Loci_count,Loci_missing,Lineage,Mating_type,Continent,Country,Province_State,Year_collected,Host_type,Host_genus,Host_genus_species,Source_publication,accession_WGS_SRA,accession_avh120,accession_avh121,accession_btub,accession_gweuk,accession_hsp90,accession_trp1
21_FOP04_169,21_FOP04_169,,6,,NA1,A2,North America,United States,USA: CA,2010,shrub,Umbellularia sp.,Umbellularia californica,Hamelin2022,SRR9952923,,,,,,
BS2014_550,BS2014_550,,6,,NA1,A2,North America,United States,USA: CA,2014,shrub,Umbellularia sp.,Umbellularia californica,Hamelin2022,SRR9952913,,,,,,
BS2016_10,BS2016_10,,6,,NA1,A2,North America,United States,USA: CA,2016,shrub,Umbellularia sp.,Umbellularia californica,Hamelin2022,SRR9883268,,,,,,
CC1008,CC1008,,6,,EU1,A1,Europe,United Kingdom: England,United Kingdom: England,2002,shrub,Rhododendron sp.,Rhododendron sp.,Turner2017,SRX2190141,,,,,,
CC1033,CC1033,,6,,EU1,A1,Europe,United Kingdom: England,United Kingdom: England,2002,shrub,Viburnum sp.,Viburnum sp.,Turner2017,SRX2190142,,,,,,
CC1048,CC1048,,6,,EU1,A1,Europe,United Kingdom: England,United Kingdom: England,2002,shrub,Viburnum sp.,Viburnum sp.,Turner2017,SRX202261,,,,,,
CC12475,CC12475,,6,,EU1,A1,Europe,United Kingdom: England,United Kingdom: England,2007,environmental,environmental,Soil,Turner2017,SRX202256,,,,,,
CC14654,CC14654,,6,,EU1,A1,Europe,United Kingdom: England,United Kingdom: England,2009,environmental,Leaf detritus,Leaf detritus,Turner2017,SRX202259,,,,,,
CC2168,CC2168,,6,,EU1,A1,Europe,United Kingdom: England,United Kingdom: England,2009,shrub,Camellia sp.,Camellia sp.,Turner2017,SRX2190143,,,,,,
CC2176,CC2176,,6,,EU1,A1,Europe,United Kingdom: England,United Kingdom: England,2009,shrub,Pieris sp.,Pieris sp.,Turner2017,SRX2190144,,,,,,
CC2184,CC2184,,6,,EU1,A1,Europe,United Kingdom: England,United Kingdom: England,2004,conifer tree,Taxus sp.,Taxus sp.,Turner2017,SRX202257,,,,,,
CC2186,CC2186,,6,,EU1,A1,Europe,United Kingdom: England,United Kingdom: England,2009,shrub,Rhododendron sp.,Rhododendron sp.,Turner2017,SRX2190145,,,,,,
CC2187,CC2187,,6,,EU1,A1,Europe,United Kingdom: England,United Kingdom: England,2009,shrub,Rhododendron sp.,Rhododendron sp.,Turner2017,SRX2190146,,,,,,
CC2275,CC2275,,6,,EU1,A1,Europe,United Kingdom: England,United Kingdom: England,2004,shrub,Laurus sp.,Laurus nobilis,Turner2017,SRX202258,,,,,,
HMG2017_2,HMG2017_2,,6,,NA1,A2,North America,United States,USA: CA,2017,shrub,Umbellularia sp.,Umbellularia californica,Hamelin2022,SRR9883263,,,,,,
IRE_100,IRE_100,"PR11-005, P10/DOL/141205",5,hsp90,EU1,A1,Europe,Ireland,Ireland,2010,shrub,Rhododendron sp.,Rhododendron sp.,,,,,,,,
IRE_105,IRE_105,"PR11-483, P11/DOL/140704",5,hsp90,EU1,A1,Europe,Ireland,Ireland,2011,shrub,Rhododendron sp.,Rhododendron sp.,,,,,,,,
IRE_106,IRE_106,"PR11-723, P11/DOL/111006",5,hsp90,EU1,A1,Europe,Ireland,Ireland,2011,conifer tree,Larix sp.,Larix sp. ,,,,,,,,
IRE_107,IRE_107,"PR11-777, P11/COF/151103",5,hsp90,EU1,A1,Europe,Ireland,Ireland,2011,conifer tree,Larix sp.,Larix sp. ,,,,,,,,
IRE_110,IRE_110,"PR11X-003, SOD 136/11",5,hsp90,EU2,A1,Europe,United Kingdom: Northern Ireland,United Kingdom: Northern Ireland,2011,conifer tree,Larix sp. ,Larix sp. ,,,,,,,,
IRE_118,IRE_118,PR12-631,5,hsp90,EU1,A1,Europe,Ireland,Ireland,2012,conifer tree,Larix sp.,Larix sp. ,,,,,,,,
