Strain_name,Other_name,Phylum,Class,Order,Family,Genus,LociCount,Lineage,Continent,Country,Region,YearCollected,HostDetailed,HostGeneral,HostType,SourcePub,accession_WGS_SRA,accession_avh120,accession_avh121,accession_btub,accession_gweuk,accession_hsp90,accession_trp1
Pram_BBA_26_02_EU1,,Oomycota,Oomycetes,Peronosporales,Peronosporaceae,Phytophthora,6,EU1,Europe,Belgium,Belgium,2002,Viburnum sp.,Viburnum sp.,shrub,Feau2019,SRR8327032,,,,,,
15_1093,,Oomycota,Oomycetes,Peronosporales,Peronosporaceae,Phytophthora,6,EU1,North America,Canada,"Canada: BC, Metro Vancouver",2015,Magnolia grandiflora,Magnolia sp.,broadleaf tree,Hamelin2022,SRR17285117,,,,,,
16_0245_0019,,Oomycota,Oomycetes,Peronosporales,Peronosporaceae,Phytophthora,6,EU1,North America,Canada,"Canada: BC, Metro Vancouver",2016,Pieris japonica,Pieris sp.,shrub,Hamelin2022,SRR17285114,,,,,,
Pram_08_2933_EU1,,Oomycota,Oomycetes,Peronosporales,Peronosporaceae,Phytophthora,6,EU1,North America,Canada,Canada: BC,2008,Pieris japonica,Pieris sp.,shrub,Feau2019,SRR8327047,,,,,,
03_0110,,Oomycota,Oomycetes,Peronosporales,Peronosporaceae,Phytophthora,6,EU1,North America,Canada,"Canada: BC, Metro Vancouver",2003,Rhododendron sp.,Rhododendron sp.,shrub,Hamelin2022,SRR17285147,,,,,,
14_1270,,Oomycota,Oomycetes,Peronosporales,Peronosporaceae,Phytophthora,6,EU1,North America,Canada,"Canada: BC, Metro Vancouver",2014,Rhododendron sp.,Rhododendron sp.,shrub,Hamelin2022,SRR17285128,,,,,,
14_1320,,Oomycota,Oomycetes,Peronosporales,Peronosporaceae,Phytophthora,6,EU1,North America,Canada,"Canada: BC, Metro Vancouver",2014,Rhododendron sp.,Rhododendron sp.,shrub,Hamelin2022,SRR17285127,,,,,,
15_0127,,Oomycota,Oomycetes,Peronosporales,Peronosporaceae,Phytophthora,6,EU1,North America,Canada,"Canada: BC, Fraser Valley",2015,Rhododendron sp.,Rhododendron sp.,shrub,Hamelin2022,SRR17285123,,,,,,
15_0674,,Oomycota,Oomycetes,Peronosporales,Peronosporaceae,Phytophthora,6,EU1,North America,Canada,"Canada: BC, Metro Vancouver",2015,Rhododendron sp.,Rhododendron sp.,shrub,Hamelin2022,SRR17285119,,,,,,
16_0329_0026,,Oomycota,Oomycetes,Peronosporales,Peronosporaceae,Phytophthora,6,EU1,North America,Canada,"Canada: BC, Metro Vancouver",2016,Rhododendron sp.,Rhododendron sp.,shrub,Hamelin2022,SRR17285112,,,,,,
Pram_03_0002_EU1,,Oomycota,Oomycetes,Peronosporales,Peronosporaceae,Phytophthora,6,EU1,North America,Canada,Canada: BC,2003,Rhododendron sp.,Rhododendron sp.,shrub,Feau2019,SRR8327051,,,,,,
Pram_03_0107_EU1,,Oomycota,Oomycetes,Peronosporales,Peronosporaceae,Phytophthora,6,EU1,North America,Canada,Canada: BC,2003,Rhododendron sp.,Rhododendron sp.,shrub,Feau2019,SRR8327050,,,,,,
Pram_04_17031_EU1,,Oomycota,Oomycetes,Peronosporales,Peronosporaceae,Phytophthora,6,EU1,North America,Canada,Canada: BC,2004,Rhododendron sp.,Rhododendron sp.,shrub,Feau2019,SRR8327049,,,,,,
Pram_07_13013_EU1,,Oomycota,Oomycetes,Peronosporales,Peronosporaceae,Phytophthora,6,EU1,North America,Canada,Canada: BC,2007,Rhododendron sp.,Rhododendron sp.,shrub,Feau2019,SRR8327048,,,,,,
Pram_10_5341b_EU1,,Oomycota,Oomycetes,Peronosporales,Peronosporaceae,Phytophthora,6,EU1,North America,Canada,Canada: BC,2010,Rhododendron sp.,Rhododendron sp.,shrub,Feau2019,SRR8327046,,,,,,
PRAM_15_1796,,Oomycota,Oomycetes,Peronosporales,Peronosporaceae,Phytophthora,6,EU1,North America,Canada,"Canada: BC, South-east Vancouver Island",2015,Rhododendron sp.,Rhododendron sp.,shrub,Hamelin2022,SRR17285116,,,,,,
PRAM_17_0527_0003,,Oomycota,Oomycetes,Peronosporales,Peronosporaceae,Phytophthora,6,EU1,North America,Canada,"Canada: BC, Metro Vancouver",2017,Rhododendron sp.,Rhododendron sp.,shrub,Hamelin2022,SRR17285109,,,,,,
